"Id","Url","ImageUrl","Name","Symbol","CoinName","FullName","Algorithm","ProofType","FullyPremined","TotalCoinSupply","PreMinedValue","TotalCoinsFreeFloat","SortOrder","Sponsored","IsTrading"
"28700","/coins/laz/overview","/media/351552/laz.png","LAZ","LAZ","Lazarus","Lazarus (LAZ)","DPoS","DPoS","0","10000000","N/A","N/A","771",false,true
"28703","/coins/fonz/overview","/media/351553/fonz.png","FONZ","FONZ","FonzieCoin","FonzieCoin (FONZ)","SHA256","PoW/PoS","0","N/A","N/A","N/A","772",false,true
"28764","/coins/btcr/overview","/media/351554/btr.png","BTCR","BTCR","BitCurrency","BitCurrency (BTCR)","Scrypt","PoS","0","N/A","N/A","N/A","773",false,true
"28770","/coins/sandg/overview","/media/351556/sandt.png","SANDG","SANDG","Save and Gain","Save and Gain (SANDG)","SHA256","PoW","0","N/A","N/A","N/A","775",false,true
"28772","/coins/pnk/overview","/media/351557/pnk.png","PNK","PNK","SteamPunk","SteamPunk (PNK)","PoS","PoS","0","40000000","N/A","N/A","776",false,true
"28774","/coins/moond/overview","/media/351558/moond.png","MOOND","MOOND","Dark Moon","Dark Moon (MOOND)","Scrypt","PoW/PoS","0","420000000","N/A","N/A","777",false,true
"28776","/coins/dlc/overview","/media/351559/dlc.png","DLC","DLC","DollarCoin","DollarCoin (DLC)","SHA256","PoW","0","10638298","N/A","N/A","778",false,true
"28778","/coins/sen/overview","/media/351560/sen.png","SEN","SEN","Sentaro","Sentaro (SEN)","Scrypt","PoW/PoS","0","N/A","N/A","N/A","779",false,true
"28880","/coins/scn/overview","/media/351563/scn.png","SCN","SCN","Swiscoin","Swiscoin (SCN)","Scrypt","PoW/PoW","0","3100000000","N/A","N/A","781",false,true
"28882","/coins/wex/overview","/media/351564/wex.jpg","WEX","WEX","Wexcoin","Wexcoin (WEX)","N/A","PoS","0","N/A","N/A","N/A","782",false,true
"28885","/coins/lth/overview","/media/351565/lth.png","LTH","LTH","Lathaan","Lathaan (LTH)","PoS","N/A","0","N/A","N/A","N/A","783",false,true
"28888","/coins/bronz/overview","/media/351566/bronz.png","BRONZ","BRONZ","BitBronze","BitBronze (BRONZ)","Scrypt","PoW","0","4502400","N/A","N/A","784",false,true
"28890","/coins/sh/overview","/media/351567/sh.png","SH","SH","Shilling","Shilling (SH)","Scrypt","PoW","0","30000000","N/A","N/A","785",false,true
"29001","/coins/mg/overview","/media/351588/mg.png","MG","MG","Mind Gene","Mind Gene (MG)","SHA256","PoW/PoS","0","7500000000","N/A","N/A","788",false,true
"29004","/coins/psi/overview","/media/351589/psi.png","PSI","PSI","PSIcoin","PSIcoin (PSI)","X11","PoS","0","696969","N/A","N/A","789",false,true
"29008","/coins/xpo/overview","/media/351590/xpo.png","XPO","XPO","Opair","Opair (XPO)","PoS","PoS","0","74000000","N/A","N/A","790",false,true
"29010","/coins/nlc/overview","/media/351591/nlc.png","NLC","NLC","NoLimitCoin","NoLimitCoin (NLC)","SHA256D","PoW/PoS","0","N/A","N/A","N/A","791",false,true
"29041","/coins/psb/overview","/media/351594/psb.jpg","PSB","PSB","PesoBit","PesoBit (PSB)","Scrypt","PoW/PoS","0","32958651","N/A","N/A","792",false,true
"29131","/coins/xbts/overview","/media/351617/beats.png","XBTS","XBTS","Beats","Beats (XBTS)","X11","PoW/PoS","0","N/A","N/A","N/A","793",false,true
"29133","/coins/fit/overview","/media/351618/fit.png","FIT","FIT","Fitcoin","Fitcoin (FIT)","X11","PoW/PoS","0","8880000000","N/A","N/A","794",false,true
"29193","/coins/pinkx/overview","/media/351624/pinkx.png","PINKX","PINKX","PantherCoin","PantherCoin (PINKX)","Scrypt","PoW/PoS","0","735000000","N/A","N/A","796",false,true
"29196","/coins/fire/overview","/media/351625/fire.png","FIRE","FIRE","FireCoin","FireCoin (FIRE)","X15","PoW/PoS","0","N/A","N/A","N/A","797",false,true
"29198","/coins/unf/overview","/media/351626/unf.png","UNF","UNF","Unfed Coin","Unfed Coin (UNF)","Scrypt","PoW","0","67000000","N/A","N/A","798",false,true
"29200","/coins/sport/overview","/media/351627/sports.png","SPORT","SPORT","SportsCoin","SportsCoin (SPORT)","X11","PoS","0","20000000","N/A","N/A","799",false,true
"29348","/coins/ppy/overview","/media/351630/peerplays.png","PPY","PPY","Peerplays","Peerplays (PPY)","N/A","N/A","0","5916684","N/A","N/A","801",false,true
"29366","/coins/ntc/overview","/media/351631/ntc.png","NTC","NTC","NineElevenTruthCoin","NineElevenTruthCoin (NTC)","Scrypt","PoW/PoS","0","N/A","N/A","N/A","802",false,true
