"exchange","coin"
"BitTrex","RZR"
"BitTrex","XSTC"
"BitTrex","QWARK"
"BitTrex","SAR*"
"BitTrex","XTR"
"BitTrex","BCR"
"BitTrex","GNT"
"BitTrex","XLM"
"BitTrex","DOGED"
"BitTrex","LXC"
"BitTrex","MAL"
"BitTrex","BCC"
"BitTrex","CHILD"
"BitTrex","ADT"
"BitTrex","MIN"
"BitTrex","MLN"
"BitTrex","SUP"
"BitTrex","QRL"
"BitTrex","QTL"
"BitTrex","XVC"
"BitTrex","MTL"
"BitTrex","FIBRE"
"BitTrex","SUPER"
"BitTrex","SWT"
"BitTrex","XBB"
"BitTrex","TRUST"
"BitTrex","BLK"
"BitTrex","SJCX"
"BitTrex","AGRS"
"BitTrex","DAR"
"BitTrex","INCNT"
"BitTrex","PKB"
"BitTrex","MAPC"
"BitTrex","RBR"
"BitTrex","BLU"
"BitTrex","TEETH"
"BitTrex","SLG"
"BitTrex","MWC"
"BitTrex","VNL"
"BitTrex","PRIME"
"BitTrex","VEE"
"BitTrex","VDO"
"BitTrex","BURST"
"BitTrex","BTG"
"BitTrex","BTCD"
"BitTrex","TRI"
"BitTrex","2GIVE"
"BitTrex","NEOS"
"BitTrex","ORB"
"BitTrex","TX"
"BitTrex","TKS"
"BitTrex","URO"
"BitTrex","ECASH"
"BitTrex","SMAC"
"BitTrex","JPC*"
"BitTrex","MARYJ"
"BitTrex","DP"
"BitTrex","UKG"
"BitTrex","IEC"
"BitTrex","ABY"
"BitTrex","BAY"
"BitTrex","CRW"
"BitTrex","XG"
"BitTrex","BNT"
"BitTrex","XDQ"
"BitTrex","AMS"
"BitTrex","MUGA"
"BitTrex","VPN"
"BitTrex","DRZ"
"BitTrex","AXIOM"
"BitTrex","XC"
"BitTrex","PIVX"
"BitTrex","CRYPT"
"BitTrex","THC"
"BitTrex","FRK"
"BitTrex","EDG"
"BitTrex","CKC"
"BitTrex","GSM"
"BitTrex","EXCL"
"BitTrex","GLOBE"
"BitTrex","XMS"
"BitTrex","GP"
"BitTrex","LDOGE"
"BitTrex","WATER"
"BitTrex","DOGE"
"BitTrex","PART"
"BitTrex","SYNC"
"BitTrex","HYPER"
"BitTrex","NLG"
"BitTrex","FTC"
"BitTrex","GIVE"
"BitTrex","EGMA"
"BitTrex","GML"
"BitTrex","METAL"
"BitTrex","KEY"
"BitTrex","WKC"
"BitTrex","PES"
"BitTrex","PTC"
"BitTrex","XRA"
"BitTrex","COVAL"
"BitTrex","ZIRK"
"BitTrex","TRIG"
"BitTrex","BLC"
"BitTrex","RBY"
"BitTrex","STEEM"
"BitTrex","GEN"
"BitTrex","MACRO"
"BitTrex","BITB"
"BitTrex","EVENT"
"BitTrex","RVR"
"BitTrex","16BIT"
"BitTrex","RDD"
"BitTrex","CETI"
"BitTrex","VIB"
"BitTrex","GHC"
"BitTrex","BOOM"
"BitTrex","DIO"
"BitTrex","XDN"
"BitTrex","TRK"
"BitTrex","INFX"
"BitTrex","STEPS"
"BitTrex","VTC"
"BitTrex","GMC"
"BitTrex","FLDC"
"BitTrex","BAT"
"BitTrex","XVG"
"BitTrex","CLUB"
"BitTrex","NXS"
"BitTrex","FCT"
"BitTrex","EQX"
"BitTrex","LRC"
"BitTrex","REP"
"BitTrex","NXT"
"BitTrex","LBC"
"BitTrex","COV*"
"BitTrex","LMR"
"BitTrex","DIBS"
"BitTrex","XWT"
"BitTrex","MAID"
"BitTrex","R3D"
"BitTrex","GCR"
"BitTrex","SMBR"
"BitTrex","PND"
"BitTrex","DGDC"
"BitTrex","CAIX"
"BitTrex","XSI"
"BitTrex","SEQ"
"BitTrex","EBST"
"BitTrex","FAIR"
"BitTrex","CAM"
"BitTrex","GBG"
"BitTrex","EPY"
"BitTrex","CF"
"BitTrex","VIOR"
"BitTrex","ARCH"
"BitTrex","SPR"
"BitTrex","LYB"
"BitTrex","YBC"
"BitTrex","APEX"
"BitTrex","BBR"
"BitTrex","PEN*"
"BitTrex","ARDR"
"BitTrex","NEU"
"BitTrex","ZRC*"
"BitTrex","NBT"
